Gene	Phenotype
EZH2	HP:0001263,HP:0001385,HP:0000752,HP:0000316,HP:0000308,HP:0001319,HP:0003006,HP:0001513,HP:0004482,HP:0004322
HTRA1	HP:0012443,HP:0002141,HP:0001269,HP:0003401,HP:0001297,HP:0000012
EHMT1	HP:0000717,HP:0004209,HP:0001263,HP:0000316,HP:0000252,HP:0045025
SCN2A	HP:0001999,HP:0000646,HP:0000729,HP:0000618,HP:0100021,HP:0000696,HP:0000750,HP:0002353,HP:0012001,HP:0001263,HP:0001249,HP:0001270,HP:0000639,HP:0001622,HP:0000541,HP:0000488
IDH1	HP:0009911,HP:0010622
KMT2D	HP:0001488,HP:0000957,HP:0009797,HP:0000378,HP:0001531,HP:0006094,HP:0001263,HP:0000365,HP:0008947,HP:0000637,HP:0001763,HP:0002719,HP:0001762
FOXP1	HP:0000478,HP:0012803,HP:0000739,HP:0002099,HP:0007018,HP:0000978,HP:0001363,HP:0000421,HP:0000577,HP:0002236,HP:0001288,HP:0001263,HP:0000719,HP:0001256,HP:0001085,HP:0011220,HP:0000538,HP:0000262,HP:0000020,HP:0100512
CHD2	HP:0000729,HP:0002019,HP:0011168,HP:0001268,HP:0001250,HP:0001328
PBX1	HP:0001999,HP:0001087,HP:0002019,HP:0004325,HP:0011968,HP:0001263,HP:0001510,HP:0001007,HP:0002557,HP:0000256,HP:0001252,HP:0001643,HP:0000104,HP:0000988,HP:0001262,HP:0002013
NAA15	HP:0010677,HP:0001263,HP:0001763,HP:0004396,HP:0001328,HP:0000664
SIN3A	HP:0001999,HP:0000766,HP:0000248,HP:0000537,HP:0001508,HP:0001263,HP:0000047,HP:0000252,HP:0011220,HP:0000486,HP:0000506
ABCC9	HP:0012443,HP:0012532,HP:0002094,HP:0012378,HP:0002900,HP:0004305,HP:0001382,HP:0003326,HP:0001643,HP:0005307,HP:0011703,HP:0001337
PLA2G6	HP:0000739,HP:0002359,HP:0001288,HP:0002167,HP:0012531,HP:0009830
TRIO	HP:0000718,HP:0000729,HP:0000337,HP:0000750,HP:0010529,HP:0002373,HP:0001249,HP:0000256,HP:0002360
BRCA2	HP:0001999,HP:0007429,HP:0001263,HP:0009737,HP:0010609
TRIO	HP:0001057,HP:0001047,HP:0000750,HP:0001263,HP:0000252
AMPD2	HP:0009027,HP:0000365,HP:0001324,HP:0003202
MPZ	HP:0002027,HP:0000504,HP:0002014,HP:0002353,HP:0001531,HP:0012378,HP:0030148,HP:0002076,HP:0001324,HP:0001252,HP:0000639,HP:0004396,HP:0000988,HP:0001279,HP:0000360,HP:0001824
PKD1	HP:0012443,HP:0002315,HP:0000365,HP:0005692,HP:0002893,HP:0000113,HP:0000107,HP:0000407,HP:0009088
TRRAP	HP:0007957,HP:0000964,HP:0011968,HP:0001263,HP:0000364,HP:0004299,HP:0000568,HP:0001252,HP:0000388,HP:0002092,HP:0002788,HP:0004755
GJB2	HP:0000978,HP:0002373,HP:0001882,HP:0000407,HP:0009088,HP:0001873
ALPL	HP:0000248,HP:0002015,HP:0001508,HP:0011968,HP:0007429,HP:0000637,HP:0003282,HP:0001270,HP:0001067,HP:0002013
EFTUD2	HP:0001999,HP:0100736,HP:0009892,HP:0002194,HP:0000750,HP:0000678,HP:0000805,HP:0000324,HP:0000365,HP:0000202,HP:0002650,HP:0001762,HP:0001629
ABCD1	HP:0012443,HP:0002066,HP:0001288
